question,options,correct_answer
What is the PyTorch command used to define CrossEntropy Loss?,"torch.loss.CrossEntropy(),torch.nn.CrossEntropy(),torch.CrossEntropyLoss(),torch.nn.CrossEntropyLoss()",torch.nn.CrossEntropyLoss()
What PyTorch command is commonly used to save a trained model?,"torch.save_model(),torch.export_model(),torch.store_model(),torch.save()",torch.save()
What is PyTorch primarily used for?,"Computer vision,Text processing,Speech recognition,Reinforcement learning",Computer vision
What does the `torch.Tensor` class represent in PyTorch?,"A deep learning model,A neural network layer,A multi-dimensional array,A Python function",A multi-dimensional array
Which module is commonly used for loading datasets in PyTorch?,"torch.utils.data,torch.nn,torch.optim,torch.autograd",torch.utils.data
What is the purpose of the `torch.nn.Module` class in PyTorch?,"To define a neural network model,To handle automatic differentiation,To optimize the model parameters,To preprocess data",To define a neural network model
Which activation function is commonly used in the hidden layers of a neural network?,"ReLU,Sigmoid,Tanh,Softmax",ReLU
What is the purpose of the `torch.optim` module in PyTorch?,"To define loss functions,To perform automatic differentiation,To optimize the model parameters,To preprocess data",To optimize the model parameters
What does the DataLoader class do in PyTorch?,"Loads and preprocesses data for training,Defines the model architecture,Performs automatic differentiation,Optimizes the model parameters",Loads and preprocesses data for training
Which PyTorch function is used to transfer a tensor to a GPU?,"tensor.to_gpu(),tensor.cuda(),torch.to_gpu(),torch.cuda()",tensor.cuda()
What is the purpose of the CrossEntropyLoss in PyTorch?,"Classification loss for multiple classes,Regression loss,Binary classification loss,Mean squared error loss",Classification loss for multiple classes
How can you check the size of a tensor in PyTorch?,"tensor.size(),tensor.shape(),tensor.length(),tensor.dim()",tensor.shape()
What is the purpose of the flatten operation in a neural network?,"To increase the number of parameters,To decrease the number of parameters,To transform a multi-dimensional tensor into a one-dimensional tensor,To add non-linearity to the model",To transform a multi-dimensional tensor into a one-dimensional tensor
"In PyTorch, what is an epoch in training a neural network?","One complete pass through the entire training dataset,One iteration of the optimization algorithm,One forward and backward pass,One update of the model parameters",One complete pass through the entire training dataset
Which layer is commonly used for downsampling in a convolutional neural network (CNN)?,"MaxPooling2D,Flatten,Dropout,ReLU",MaxPooling2D
What is the purpose of the `torchvision` library in PyTorch?,"Provides pre-trained models and datasets for computer vision,Optimizes model parameters,Defines loss functions,Handles automatic differentiation",Provides pre-trained models and datasets for computer vision
